,season,player,pts,reb,ast
3410,2020,Rudy Gobert,1026,916,101
3411,2020,Rui Hachimura,649,294,87
3412,2020,Russell Westbrook,1553,451,401
3413,2020,Ryan Anderson,5,7,2
3414,2020,Ryan Arcidiacono,261,110,96
3415,2020,Ryan Broekhoff,71,43,11
3416,2020,Sekou Doumbouya,243,118,19
3417,2020,Semi Ojeleye,236,145,37
3418,2020,Serge Ibaka,845,452,77
3419,2020,Seth Curry,793,145,124
3420,2020,Shabazz Napier,578,158,262
3421,2020,Shabazz Napier,347,110,187
3422,2020,Shabazz Napier,231,48,75
3423,2020,Shai Gilgeous-Alexander,1331,412,232
3424,2020,Shake Milton,377,88,104
3425,2020,Shamorie Ponds,9,1,2
3426,2020,Shaquille Harrison,209,86,49
3427,2020,Sindarius Thornwell,16,4,4
3428,2020,Skal Labissière,190,169,42
3429,2020,Solomon Hill,323,165,104
3430,2020,Solomon Hill,274,144,94
3431,2020,Solomon Hill,49,21,10
3432,2020,Spencer Dinwiddie,1318,221,432
3433,2020,Stanley Johnson,60,37,20
3434,2020,Stanton Kidd,0,3,1
3435,2020,Stephen Curry,104,26,33
3436,2020,Sterling Brown,266,183,51
3437,2020,Steven Adams,684,583,146
3438,2020,Svi Mykhailiuk,504,104,106
3439,2020,T.J. Leaf,84,71,9
3440,2020,T.J. McConnell,464,189,355
3441,2020,T.J. Warren,1326,280,99
3442,2020,Tacko Fall,23,15,1
3443,2020,Taj Gibson,379,267,52
3444,2020,Talen Horton-Tucker,34,7,6
3445,2020,Tariq Owens,4,3,0
3446,2020,Taurean Prince,773,381,116
3447,2020,Terance Mann,99,55,53
3448,2020,Terence Davis,543,237,115
3449,2020,Terrance Ferguson,220,74,51
3450,2020,Terrence Ross,1016,222,82
3451,2020,Terry Rozier,1134,276,259
3452,2020,Thabo Sefolosha,92,93,25
3453,2020,Thaddeus Young,659,315,117
3454,2020,Thanasis Antetokounmpo,55,24,15
3455,2020,Theo Pinson,120,54,56
3456,2020,Thomas Bryant,609,331,83
3457,2020,Thon Maker,281,167,43
3458,2020,Tim Frazier,97,33,93
3459,2020,Tim Hardaway Jr.,1121,232,137
3460,2020,Timothé Luwawu-Cabarrot,365,127,29
3461,2020,Tobias Harris,1411,495,227
3462,2020,Tomáš Satoranský,644,254,354
3463,2020,Tony Bradley,285,267,23
3464,2020,Tony Snell,474,111,127
3465,2020,Torrey Craig,315,189,47
3466,2020,Trae Young,1778,255,560
3467,2020,Tremont Waters,40,12,16
3468,2020,Treveon Graham,243,150,45
3469,2020,Treveon Graham,171,100,30
3470,2020,Treveon Graham,72,50,15
3471,2020,Trevor Ariza,423,246,91
3472,2020,Trevor Ariza,192,146,50
3473,2020,Trevor Ariza,231,100,41
3474,2020,Trey Burke,243,50,83
3475,2020,Trey Burke,147,35,53
3476,2020,Trey Burke,96,15,30
3477,2020,Trey Lyles,404,361,69
3478,2020,Tristan Thompson,684,577,120
3479,2020,Troy Brown Jr.,716,383,178
3480,2020,Troy Daniels,200,52,17
3481,2020,Troy Daniels,174,46,14
3482,2020,Troy Daniels,26,6,3
3483,2020,Ty Jerome,102,46,44
3484,2020,Tyler Cook,23,14,1
3485,2020,Tyler Cook,19,10,1
3486,2020,Tyler Cook,4,4,0
3487,2020,Tyler Herro,743,224,121
3488,2020,Tyler Johnson,274,76,74
3489,2020,Tyler Johnson,178,52,50
3490,2020,Tyler Johnson,96,24,24
3491,2020,Tyler Zeller,2,4,0
3492,2020,Tyrone Wallace,40,22,13
3493,2020,Tyson Chandler,34,66,6
3494,2020,Tyus Jones,484,103,285
3495,2020,Udonis Haslem,12,16,1
3496,2020,Vic Law,15,11,3
3497,2020,Victor Oladipo,275,75,56
3498,2020,Vince Carter,298,124,48
3499,2020,Vincent Poirier,41,43,8
3500,2020,Vlatko Čančar,17,10,3
3501,2020,Wayne Ellington,183,65,44
3502,2020,Wendell Carter Jr.,484,405,51
3503,2020,Wenyen Gabriel,63,52,8
3504,2020,Wenyen Gabriel,19,10,3
3505,2020,Wenyen Gabriel,44,42,5
3506,2020,Wes Iwundu,300,131,60
3507,2020,Wesley Matthews,494,166,92
3508,2020,Will Barton,874,365,212
3509,2020,William Howard,0,2,1
3510,2020,Willie Cauley-Stein,390,315,70
3511,2020,Willie Cauley-Stein,323,255,60
3512,2020,Willie Cauley-Stein,67,60,10
3513,2020,Willy Hernangómez,190,134,29
3514,2020,Wilson Chandler,205,145,39
3515,2020,Yogi Ferrell,218,49,69
3516,2020,Yuta Watanabe,36,20,5
3517,2020,Zach Collins,77,69,16
3518,2020,Zach LaVine,1530,289,254
3519,2020,Zach Norvell,10,6,3
3520,2020,Zach Norvell,0,1,0
3521,2020,Zach Norvell,10,5,3
3522,2020,Zhaire Smith,8,2,2
3523,2020,Zion Williamson,540,150,50
3524,2020,Zylan Cheatham,12,9,3
